Topic,Count,Name,Representation,Representative_Docs,pos_ratio,emotional_ratio,top_0_sentiment,top_1_sentiment,top_2_sentiment,top_0_emotion,top_1_emotion,top_2_emotion,top_0_intent,top_1_intent,top_2_intent,top_0_hashtags,top_1_hashtags,top_2_hashtags,top_3_hashtags,top_4_hashtags,top_0_emojis,top_1_emojis,top_2_emojis,top_3_emojis,top_4_emojis,top_0_ner,top_1_ner,top_2_ner,top_3_ner,top_4_ner
0,16583,0_use_using_model_used,"['use', 'using', 'model', 'used', 'just', 'data', 'try', 'add', 'like', 'code']",,0.6216216216216216,0.37,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#DigitalTransformation,😄,😂,😎,🙏,™,AI,BigData,Trump,Apple,Google
1,8458,1_iot_tech_digitaltransformation_technology,"['iot', 'tech', 'digitaltransformation', 'technology', 'industry40', 'innovation', 'blockchain', '5g', 'cloud', 'vr']",,0.8,0.297029702970297,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#DataScience,#BigData,#MachineLearning,#IoT,🙏,👍,😄,👏,😂,BigData,#MachineLearning #,AI,🙏,Apple
2,5857,2_leadership_transformation_leaders_business,"['leadership', 'transformation', 'leaders', 'business', 'change', 'digital', 'cio', 'innovation', 'agile', 'culture']",,0.625,0.31683168316831684,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DataScience,#BigData,😄,😂,🤣,😁,🙏,BigData,#MachineLearning #,AI,Apple,GoLang #CloudComputing #Serverless
3,15227,3_happy_love_thank_thanks,"['happy', 'love', 'thank', 'thanks', 'beautiful', 'dear', 'good', 'great', 'day', 'weekend']",,0.676470588235294,0.34,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#BigData,#DataScience,#IoT,🙏,👍,😂,😉,😄,BigData,AI,Apple,#MachineLearning #,🙏
4,12665,4_life_inspiration_time_book,"['life', 'inspiration', 'time', 'book', 'future', 'futurist', 'good', 'day', 'daily', 'world']",,0.7352941176470589,0.33999999999999997,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#Tech,#5G,📲,📱,🙏,™,😄,AI,BigData,#MachineLearning #,🙏,Apple
5,11832,5_cloud_billion_market_digital,"['cloud', 'billion', 'market', 'digital', 'fintech', 'tech', 'data', 'platform', 'million', 'companies']",,0.7241379310344828,0.29292929292929293,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#IoT,#DigitalTransformation,#DataScience,#MachineLearning,🙏,👍,😄,😂,💡,AI,BigData #Analytics,GoLang #CloudComputing #Serverless,#BigData #Analytics,IoT
6,12194,6_like_car_just_tesla,"['like', 'car', 'just', 'tesla', 'work', 'joke', 'dont', 'better', 'make', 'doesnt']",,0.6578947368421053,0.38,Neutral,Positive,Negative,Neutral,Admiration,Joy,Opinion_sharing,Informational,Question_query,#AI,#MachineLearning,#IoT,#5G,#customerexperience,😄,™,😂,😉,🙏,AI,Amazon,Apple,🙏,BigData
7,16685,7_reactjs_rstats_tensorflow_linux,"['reactjs', 'rstats', 'tensorflow', 'linux', 'javascript', 'programming', 'serverless', 'cloudcomputing', 'datascientist', 'coding']",,0.8666666666666667,0.15,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Advocacy,#AI,#MachineLearning,#DataScience,#DeepLearning,#BigData,👉,👇,👍,🙏,👏,AI,BigData,Cc         ,AI #,#MachineLearning #
8,15816,8_post_pls_amazing_embrassing,"['post', 'pls', 'amazing', 'embrassing', 'electroman', 'raziye', 'yesmia', 'maallah', 'cuteness', 'lili']",,0.7500000000000001,0.36,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Promotional,Opinion_sharing,#AI,#MachineLearning,#DataScience,#BigData,#IoT,🙏,👍,🌻,🌟,➕,BigData,AI,#MachineLearning #,🙏,EdgeComputing
9,14838,9_retail_pay_mypov_dont,"['retail', 'pay', 'mypov', 'dont', 'days', 'lifestyle', 'know', 'delivery', 'just', 'make']",,0.676470588235294,0.34,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#IoT,#DigitalTransformation,#ArtificialIntelligence,😂,💡,🙏,😉,😄,AI,Amazon,🙏,Apple,Google
10,12049,10_energy_hydrogen_solar_carbon,"['energy', 'hydrogen', 'solar', 'carbon', 'emissions', 'sustainable', 'h2', 'cities', 'green', 'wind']",,0.6875,0.32,Neutral,Positive,Negative,Neutral,Admiration,Joy,Informational,Opinion_sharing,Promotional,#AI,#MachineLearning,#DataScience,#IoT,#BigData,🙏,👉,™,😂,😄,AI,🙏,BigData,Apple,BigData #ArtificialIntelligence #
